"GEOID","Name","Year","HS_Ed","Unemployed","Food_Stamps","Poverty"
"39003","Allen County, Ohio",2015,1.7,1.5,2.6,2.9
"39023","Clark County, Ohio",2015,1.6,1.6,2.4,2.4
"39093","Lorain County, Ohio",2015,0.9,1.1,1.3,1.7
"39113","Montgomery County, Ohio",2015,0.9,0.8,1.2,1.2
"39165","Warren County, Ohio",2015,1.1,1,1,1.1
"39007","Ashtabula County, Ohio",2015,2.4,2.4,3.2,4.7
"39061","Hamilton County, Ohio",2015,0.7,0.7,0.9,1.2
"39049","Franklin County, Ohio",2015,0.6,0.5,0.8,1
"39101","Marion County, Ohio",2015,3,3.3,3.9,4
"39157","Tuscarawas County, Ohio",2015,2.4,1.5,2.4,3.2
"39169","Wayne County, Ohio",2015,2,1.9,2.1,2.7
"39017","Butler County, Ohio",2015,1.1,1.1,1.5,1.7
"39089","Licking County, Ohio",2015,1.2,1.6,1.8,1.9
"39139","Richland County, Ohio",2015,2.4,1.6,2.2,3.1
"39063","Hancock County, Ohio",2015,2.5,1.6,2.5,2.5
"39025","Clermont County, Ohio",2015,1.3,1,1.6,1.6
"39081","Jefferson County, Ohio",2015,1.8,2.1,3.2,3
"39133","Portage County, Ohio",2015,1.6,1.5,2,2.1
"39013","Belmont County, Ohio",2015,1.9,2.5,2.3,3.3
"39119","Muskingum County, Ohio",2015,1.7,1.7,2.7,3.5
"39009","Athens County, Ohio",2015,2.6,2.4,3.9,3.8
"39103","Medina County, Ohio",2015,1.3,1,1.5,1.6
"39095","Lucas County, Ohio",2015,0.8,1.1,1.3,1.4
"39151","Stark County, Ohio",2015,0.9,1,1.5,1.3
"39045","Fairfield County, Ohio",2015,1.3,1.3,1.7,1.9
"39041","Delaware County, Ohio",2015,0.8,0.7,1.1,1
"39055","Geauga County, Ohio",2015,1.8,1.1,1.5,2.1
"39085","Lake County, Ohio",2015,1.1,0.8,1.3,1.6
"39141","Ross County, Ohio",2015,2.6,1.8,3.7,4.4
"39035","Cuyahoga County, Ohio",2015,0.5,0.6,0.7,0.9
"39109","Miami County, Ohio",2015,1.9,2.1,2.3,2.6
"39155","Trumbull County, Ohio",2015,1.1,1,1.7,2.1
"39173","Wood County, Ohio",2015,1.1,1.5,2,1.8
"39057","Greene County, Ohio",2016,1.2,1.1,1.7,1.9
"39043","Erie County, Ohio",2016,1.7,2.5,3.5,3.6
"39153","Summit County, Ohio",2016,0.8,0.7,1,1.2
"39029","Columbiana County, Ohio",2016,1.5,2.4,2.5,4
"39099","Mahoning County, Ohio",2016,0.8,1.5,1.8,1.8
"39145","Scioto County, Ohio",2016,2.5,2.1,3.9,5
"39003","Allen County, Ohio",2016,2.2,1.8,2.8,2.3
"39023","Clark County, Ohio",2016,1.6,1.7,1.8,2
"39093","Lorain County, Ohio",2016,1,1.1,1.5,1.4
"39113","Montgomery County, Ohio",2016,1,0.9,1.2,1.5
"39165","Warren County, Ohio",2016,1.1,1,1.3,1.2
"39007","Ashtabula County, Ohio",2016,2.6,1.9,2.7,3.3
"39061","Hamilton County, Ohio",2016,0.8,0.7,1,1.2
"39049","Franklin County, Ohio",2016,0.5,0.5,0.7,1
"39101","Marion County, Ohio",2016,2.4,2.4,3.8,3.4
"39157","Tuscarawas County, Ohio",2016,2.4,1.5,3.2,3.1
"39169","Wayne County, Ohio",2016,1.9,1.4,2.3,2.2
"39017","Butler County, Ohio",2016,1.1,1,1.3,1.6
"39089","Licking County, Ohio",2016,1.6,1.3,2.4,2.6
"39139","Richland County, Ohio",2016,2.2,2,2.7,2.8
"39063","Hancock County, Ohio",2016,1.6,1.9,2.5,2.6
"39025","Clermont County, Ohio",2016,1.7,1.1,1.8,1.6
"39045","Fairfield County, Ohio",2016,1.4,1.1,2.2,2.2
"39081","Jefferson County, Ohio",2016,2.3,1.6,3.1,2.6
"39133","Portage County, Ohio",2016,1.3,1.7,2.3,2.4
"39013","Belmont County, Ohio",2016,1.9,1.8,3.1,3.1
"39119","Muskingum County, Ohio",2016,2.1,1.9,2.7,2.8
"39009","Athens County, Ohio",2016,3.3,1.7,3.3,3.9
"39103","Medina County, Ohio",2016,0.8,1.2,1.4,1.6
"39095","Lucas County, Ohio",2016,1,0.9,1.7,1.7
"39151","Stark County, Ohio",2016,0.9,0.8,1.3,1.5
"39041","Delaware County, Ohio",2016,1.1,0.9,1.1,1.4
"39055","Geauga County, Ohio",2016,2.5,1.4,2.1,1.5
"39085","Lake County, Ohio",2016,0.9,0.8,1.5,1.4
"39141","Ross County, Ohio",2016,2.1,2.8,3.6,4.3
"39035","Cuyahoga County, Ohio",2016,0.6,0.5,0.8,0.8
"39109","Miami County, Ohio",2016,1.8,1.7,1.9,2.3
"39155","Trumbull County, Ohio",2016,1.2,1.2,1.6,2.4
"39173","Wood County, Ohio",2016,1.5,1,1.5,2.3
"39057","Greene County, Ohio",2017,1.4,1.1,1.7,1.9
