"GEOID","Name","Year","HS_Ed","Unemployed","Food_Stamps","Poverty"
"39045","Fairfield County, Ohio",2018,93.4,3.1,11.4,9.9
"39081","Jefferson County, Ohio",2018,89.1,6.6,17,20
"39133","Portage County, Ohio",2018,93,5,8.5,11.2
"39013","Belmont County, Ohio",2018,91.3,4.4,11.9,10.9
"39119","Muskingum County, Ohio",2018,89.1,5.7,21.4,17.5
"39009","Athens County, Ohio",2018,91.8,7.9,19.3,32.3
"39103","Medina County, Ohio",2018,96.3,2.4,5.1,6.8
"39095","Lucas County, Ohio",2018,89.8,6.6,16.3,18.6
"39151","Stark County, Ohio",2018,92.2,5.2,12.3,14.6
"39041","Delaware County, Ohio",2018,96.6,3.5,2.6,4.1
"39055","Geauga County, Ohio",2018,91,2.2,3.1,5.1
"39085","Lake County, Ohio",2018,92.1,3.9,5.8,6.9
"39141","Ross County, Ohio",2018,85.9,7.8,20.5,20.6
"39035","Cuyahoga County, Ohio",2018,89.9,6.9,16.4,17.7
"39109","Miami County, Ohio",2018,91.3,4.4,8.7,6.9
"39155","Trumbull County, Ohio",2018,89.2,4.6,12.9,18.5
"39173","Wood County, Ohio",2018,94.1,4.9,6.6,12.8
"39057","Greene County, Ohio",2018,93.9,5.6,9.3,12.7
"39043","Erie County, Ohio",2018,90.7,3.6,8.7,9
"39153","Summit County, Ohio",2018,92,5.7,12.6,11.7
"39029","Columbiana County, Ohio",2018,90.2,4.7,16.1,15
"39099","Mahoning County, Ohio",2018,91.1,9.1,17.6,16.1
"39145","Scioto County, Ohio",2018,86,8.7,29.3,22.9
"39003","Allen County, Ohio",2018,90.9,4.8,12.5,13.9
"39023","Clark County, Ohio",2018,88,7.4,16.5,14.8
"39093","Lorain County, Ohio",2018,91.1,3.8,12,14.6
"39113","Montgomery County, Ohio",2018,90.5,5.9,13.7,17.1
"39165","Warren County, Ohio",2018,93.3,2.8,3.5,5
"39007","Ashtabula County, Ohio",2018,85.2,8.5,14.5,17.8
"39057","Greene County, Ohio",2019,95.3,5.1,8.4,10.3
"39043","Erie County, Ohio",2019,92.4,4.2,13.6,11.9
"39153","Summit County, Ohio",2019,92.5,5.5,12.7,14.3
"39029","Columbiana County, Ohio",2019,91.7,5.6,14.6,12.4
"39099","Mahoning County, Ohio",2019,90.7,6.6,16.3,18.4
"39145","Scioto County, Ohio",2019,85.5,7.2,27.8,23.1
"39003","Allen County, Ohio",2019,90.9,4.3,10.9,12
"39023","Clark County, Ohio",2019,90.4,5.9,16.5,14.6
"39093","Lorain County, Ohio",2019,89.5,4.1,11.6,14.3
"39113","Montgomery County, Ohio",2019,90.3,5.6,13,15.5
"39165","Warren County, Ohio",2019,95.2,2.6,3.7,4
"39007","Ashtabula County, Ohio",2019,88.1,4.3,20.3,21.6
"39061","Hamilton County, Ohio",2019,91.9,4.8,10,14.5
"39049","Franklin County, Ohio",2019,91.3,4,10.1,13.4
"39101","Marion County, Ohio",2019,88.7,5.2,17.5,14.8
"39157","Tuscarawas County, Ohio",2019,84.5,5.5,11.3,11.7
"39169","Wayne County, Ohio",2019,85.2,2.3,9.1,9.8
"39017","Butler County, Ohio",2019,91.5,4.2,8.8,12
"39089","Licking County, Ohio",2019,91.3,2.5,11.6,9.3
"39139","Richland County, Ohio",2019,88.7,3.4,14,13.1
"39063","Hancock County, Ohio",2019,91.8,3,7.7,10
"39025","Clermont County, Ohio",2019,90.7,3.2,6.5,7.9
"39045","Fairfield County, Ohio",2019,93.7,2.5,9.5,8.1
