"county","year","mean","lwr95","upr95"
"Gaston",2019,6056.1331,4143,8894.1
"Gates",2019,323.8922,169,581
"Graham",2019,344.904,204,620.049999999999
"Granville",2019,1499.8886,1005,2170.025
"Greene",2019,372.2106,238,565.025
"Guilford",2019,9841.9313,6503.975,14117.075
"Halifax",2019,1579.2697,1055.975,2299.025
"Harnett",2019,3760.7579,2642.975,5257.175
"Haywood",2019,2169.9061,1457.975,3408
"Henderson",2019,2027.6687,1295,3296
"Hertford",2019,971.9426,591,1550
"Hoke",2019,1041.4616,690,1527
"Hyde",2019,116.3202,63,204
"Iredell",2019,3943.0816,2846.95,5435
"Jackson",2019,1169.8898,715.975,2009
"Johnston",2019,4487.8087,3167.975,6256.05
"Jones",2019,300.7615,193,457
"Lee",2019,2329.2203,1554,3453
"Lenoir",2019,1678.8871,1123.975,2410.025
"Lincoln",2019,1932.6134,1356,2777
"Macon",2019,774.0337,518.975,1175
"Madison",2019,499.6441,288,887.025
"Martin",2019,533.5867,322,900.025
"McDowell",2019,1875.6001,1269,2713.025
"Mecklenburg",2019,12519.2945,8087.95,18704.075
"Mitchell",2019,655.4414,475,965.025
"Montgomery",2019,981.7669,690,1373.025
"Moore",2019,3157.8637,2312.975,4266.05
"Nash",2019,2184.8873,1506,3132.025
"New Hanover",2019,8865.3947,5490.875,13696.025
"Northampton",2019,312.5268,184,506
"Onslow",2019,4643.3814,3012.975,6813
"Orange",2019,2513.2027,1659,3655.025
"Pamlico",2019,545.153,299,928.025
"Pasquotank",2019,1575.5729,816,2894.125
"Pender",2019,2050.8902,1459.975,2819.025
"Perquimans",2019,259.0945,124.975,493
"Person",2019,1344.9387,900.975,1959
"Pitt",2019,6228.97,4378.975,8670
"Polk",2019,379.1836,227,656
"Randolph",2019,4558.6719,3196.975,6347.025
"Richmond",2019,1947.6289,1430.975,2655.025
"Robeson",2019,5848.1993,4056.875,8326.025
"Rockingham",2019,2837.0011,1925.975,4115.025
"Rowan",2019,4446.9877,3104.925,6250.125
"Rutherford",2019,1288.5033,878,1967.025
"Sampson",2019,1209.0693,835.975,1710.025
"Scotland",2019,1229.5519,847.975,1766
"Stanly",2019,2053.9282,1447.975,2857.075
"Stokes",2019,1236.4139,827,1834
"Surry",2019,2168.7755,1478,3164.025
"Swain",2019,671.1441,452,1085.025
"Transylvania",2019,979.195,627.975,1593.025
"Tyrrell",2019,81.319,38,157
"Union",2019,2997.8734,1959,4410.05
"Vance",2019,1845.5776,1190,2836.025
"Wake",2019,16117.3948,11270.95,21738.05
"Warren",2019,464.1359,294,713
"Washington",2019,302.0323,181,489
"Watauga",2019,801.8879,519,1238
"Wayne",2019,2980.9743,2032,4297.05
"Wilkes",2019,2583.7281,1864,3605.05
"Wilson",2019,1939.8586,1302,2820.05
"Yadkin",2019,1151.1095,810,1641
"Yancey",2019,616.3499,420,938
"Alamance",2020,2716.3307,1837,4001.025
"Alexander",2020,1016.8996,728,1457
"Alleghany",2020,180.9255,118,282
"Anson",2020,288.5826,181.975,453
"Ashe",2020,640.0617,446,964
"Avery",2020,500.9159,370,711
"Beaufort",2020,2122.6704,1479.975,3014
"Bertie",2020,393.3438,248,609
"Bladen",2020,1097.7384,741,1615
"Brunswick",2020,3695.9463,2358.975,5808.15
"Buncombe",2020,6366.5717,4223.925,10471.15
"Burke",2020,2574.3743,1819,3743
"Cabarrus",2020,3757.6911,2544,5519.025
"Caldwell",2020,2113.0144,1527.975,3039
"Camden",2020,154.3238,74,293.025
"Carteret",2020,2083.5829,1299.975,3286.025
"Caswell",2020,372.8759,235,572.025
"Catawba",2020,3617.0616,2512.975,5329.05
"Chatham",2020,949.7808,642,1370
"Cherokee",2020,833.1833,471,1534
"Chowan",2020,392.1129,204,710
"Clay",2020,222.6878,114,427
"Cleveland",2020,1807.6913,1242,2694.025
"Columbus",2020,2071.4078,1408,3087.025
"Craven",2020,2933.3567,1944.975,4253.05
"Cumberland",2020,7019.9268,4784.975,10382.15
"Currituck",2020,735.1696,359.975,1411.025
"Dare",2020,1325.4985,739,2405.025
"Davidson",2020,4075.2438,2876.975,5811
"Davie",2020,783.0549,534,1154.025
"Duplin",2020,747.4946,488,1122.025
"Durham",2020,5153.9814,3439,7378.075
"Edgecombe",2020,1257.3119,818,1863.025
"Forsyth",2020,6008.8159,4220.925,8671.15
"Franklin",2020,1230.1107,816,1796
"Gaston",2020,5215.0073,3517.975,8052.025
"Gates",2020,186.4821,93.975,341
"Graham",2020,389.3918,233,681.049999999999
"Granville",2020,1152.6943,760.975,1690
"Greene",2020,348.8571,216,536
"Guilford",2020,7160.3176,4791.85,10584.225
"Halifax",2020,1221.5583,809.975,1795
"Harnett",2020,2790.7693,1893,4032.075
"Haywood",2020,1805.9476,1248,2937.15
"Henderson",2020,1978.9416,1281,3298.05
"Hertford",2020,754.7971,471,1184
"Hoke",2020,795.8262,520,1200
"Hyde",2020,90.6553,50,158
"Iredell",2020,3351.9781,2436.925,4693.05
"Jackson",2020,1158.8904,706,1995.025
"Johnston",2020,3188.6683,2158,4541
"Jones",2020,230.045,146,348.025
"Lee",2020,1959.4137,1287,2970.025
"Lenoir",2020,1186.1015,779,1726
"Lincoln",2020,1678.9711,1169,2479
"Macon",2020,717.0574,482,1109
"Madison",2020,511.5603,307,882.025
"Martin",2020,461.1613,277,816.025
"McDowell",2020,1482.1248,1017,2138.025
"Mecklenburg",2020,10079.4155,6610.975,15553.075
"Mitchell",2020,662.236,488,974.025
"Montgomery",2020,756.2894,529.975,1085
"Moore",2020,2362.1105,1710,3327.025
"Nash",2020,1664.5457,1111,2398.025
"New Hanover",2020,6416.1637,3772.975,10243.075
"Northampton",2020,169.9327,94,285
"Onslow",2020,3812.444,2462.975,5812.025
"Orange",2020,1856.4613,1226,2721
"Pamlico",2020,421.6637,236,696
"Pasquotank",2020,1408.8238,746.975,2521.05
"Pender",2020,1477.3654,1017,2154.025
"Perquimans",2020,454.4004,232,811
"Person",2020,1085.669,744,1572.025
"Pitt",2020,4264.6647,2907,6069.15
"Polk",2020,328.891,196,586.025
"Randolph",2020,3468.3604,2421,5012.025
"Richmond",2020,1807.3437,1320,2501.025
"Robeson",2020,5127.1867,3520.975,7502.075
"Rockingham",2020,2303.3123,1567,3411.025
"Rowan",2020,3616.9286,2496.95,5242.05
"Rutherford",2020,1233.5623,831,1949
"Sampson",2020,1021.8741,697,1488
